Name,Files & media,Temas,db_espisodes
LaineDev na Voz,21_de_mai._de_2025_11_26_24.png,"Inovação, Novidades, Tecnologia, Video Games",Episódio piloto (https://www.notion.so/Epis-dio-piloto-1faf5e89148781b8bb08e7bfb4850881?pvs=21)
Os Seletores da Galáxia - A Unindo forças contra o layout quebrado.,"ElevenLabs_2025-05-21T14_05_32_Rachel_pre_sp103_s50_sb57_se0_b_m2.mp3, 21_de_mai._de_2025_11_26_24%201.png","Frontend, Tecnologia",Sem título (https://www.notion.so/1faf5e89148781dea721ce21da818d32?pvs=21)
